"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2024";"0000";"19,4";"21,1";"18,2";"36,0";"40,0";"33,0";"3,8";"4,4";"3,4";"888,8";"888,8";"888,3";"1,6";"98,0";"3,2";"";"0,0"
"01/07/2024";"0100";"15,2";"19,3";"15,2";"55,0";"55,0";"36,0";"6,1";"6,9";"4,4";"889,3";"889,3";"888,8";"1,1";"19,0";"3,0";"";"0,0"
"01/07/2024";"0200";"14,6";"15,4";"14,2";"58,0";"60,0";"53,0";"6,5";"6,7";"5,8";"889,2";"889,3";"889,1";"0,5";"77,0";"1,8";"";"0,0"
"01/07/2024";"0300";"18,3";"18,3";"14,2";"46,0";"64,0";"46,0";"6,4";"7,5";"6,2";"888,9";"889,2";"888,9";"1,8";"114,0";"3,3";"";"0,0"
"01/07/2024";"0400";"18,6";"19,0";"18,3";"46,0";"46,0";"43,0";"6,7";"6,7";"6,0";"888,8";"889,0";"888,8";"1,8";"106,0";"3,8";"";"0,0"
"01/07/2024";"0500";"14,0";"18,9";"13,9";"66,0";"66,0";"46,0";"7,7";"7,9";"6,7";"888,6";"888,8";"888,6";"1,2";"133,0";"3,3";"";"0,0"
"01/07/2024";"0600";"14,0";"15,5";"13,6";"67,0";"69,0";"60,0";"8,0";"8,3";"7,3";"888,2";"888,6";"888,2";"1,4";"109,0";"2,5";"";"0,0"
"01/07/2024";"0700";"16,1";"17,4";"13,8";"59,0";"68,0";"55,0";"8,0";"8,7";"7,9";"888,1";"888,2";"888,0";"1,8";"127,0";"2,9";"";"0,0"
"01/07/2024";"0800";"12,1";"16,1";"11,9";"75,0";"77,0";"59,0";"7,9";"8,2";"7,7";"888,4";"888,4";"888,1";"1,7";"137,0";"2,7";"";"0,0"
"01/07/2024";"0900";"11,9";"12,1";"11,5";"77,0";"80,0";"75,0";"8,1";"8,4";"7,5";"888,9";"888,9";"888,4";"0,7";"14,0";"2,1";"";"0,0"
"01/07/2024";"1000";"11,3";"11,9";"11,2";"81,0";"82,0";"77,0";"8,3";"8,5";"7,9";"889,6";"889,6";"888,9";"0,5";"351,0";"1,6";"6,10";"0,0"
"01/07/2024";"1100";"19,4";"19,4";"11,3";"49,0";"82,0";"49,0";"8,5";"9,9";"8,2";"890,4";"890,4";"889,6";"1,9";"98,0";"3,5";"358,30";"0,0"
"01/07/2024";"1200";"22,0";"22,4";"19,4";"38,0";"49,0";"38,0";"7,1";"8,4";"6,9";"891,1";"891,1";"890,4";"2,9";"93,0";"5,4";"1114,60";"0,0"
"01/07/2024";"1300";"22,8";"23,6";"22,0";"40,0";"41,0";"35,0";"8,5";"8,9";"6,9";"891,5";"891,6";"891,1";"3,4";"99,0";"6,6";"1804,90";"0,0"
